title,company,ratings,reviews,experience,salary,location,days_posted,tags,url
Machine Learning (AI) Architect,Persistent,4.1,1781 Reviews,5-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3 Days Ago, time analysis machine intelligence employee engagement data structures artificial intelligence networking,https://www.naukri.com/job-listings-machine-learning-ai-architect-persistent-systems-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-12-years-100323501374
Data Scientist,Cognizant,4.0,31471 Reviews,8-10 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",30+ Days Ago, python R machine learning statistical programming data programming machine program,https://www.naukri.com/job-listings-data-scientist-cognizant-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-8-to-10-years-090223005732
Senior Data Scientist-New Frontiers,IDFC FIRST Bharat,4.2,458 Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",16 Days Ago, data automation frontier sql machine analysis senior data analysis,https://www.naukri.com/job-listings-senior-data-scientist-new-frontiers-idfc-first-bank-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-7-years-250223501335
Data Scientist (HR),NCR Corporation,4.1,1009 Reviews,1-2 Yrs,Not disclosed,"Mumbai, New Delhi, Hyderabad/Secunderabad",30+ Days Ago, python data science business intelligence intelligence machine recruitment analytics data,https://www.naukri.com/job-listings-data-scientist-hr-ncr-corporation-india-pvt-ltd-mumbai-new-delhi-hyderabad-secunderabad-1-to-2-years-231222500510
Data Science - Technical Lead,Paytm,3.7,4707 Reviews,6-8 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru",30+ Days Ago, python data science science machine learning processing scala brand data processing,https://www.naukri.com/job-listings-data-science-technical-lead-paytm-noida-bangalore-bengaluru-6-to-8-years-030123500411
Data Science - Engineering Manager,Paytm,3.7,4707 Reviews,3-5 Yrs,Not disclosed,"New Delhi, Bangalore/Bengaluru",30+ Days Ago, python data science monitoring management science machine learning analysis engineering management,https://www.naukri.com/job-listings-data-science-engineering-manager-paytm-new-delhi-bangalore-bengaluru-3-to-5-years-021222500074
Data Scientist,Impetus Technologies,3.9,262 Reviews,4-8 Yrs,Not disclosed,"Noida, Indore, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",26 Days Ago, Natural Language Processing machine learning Deep Learning data languages processing process machine,https://www.naukri.com/job-listings-data-scientist-impetus-technologies-noida-indore-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-8-years-150223011585
Data Scientist,WSD Consultant,4.5,10 Reviews,1-5 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",3 Days Ago, management application program technology management intelligence teaching development data,https://www.naukri.com/job-listings-data-scientist-wsd-consultant-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-1-to-5-years-100323501860
ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,4.1,34218 Reviews,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,7 Days Ago, Consulting Application development Analytics SQL Python management control cc,https://www.naukri.com/job-listings-acn-applied-intelligence-cc-data-science-in-09-accenture-gurgaon-gurugram-2-to-6-years-300123906110
Manager,EXL,3.9,5532 Reviews,5-8 Yrs,Not disclosed,Noida,3 Days Ago, management collections sql analysis computer analytics data analysis data,https://www.naukri.com/job-listings-manager-exl-services-com-i-pvt-ltd-noida-5-to-8-years-100323502456
