title,company,ratings,reviews,experience,salary,location,days_posted,url
Machine Learning (AI) Architect,Persistent,4.1,1781 Reviews,5-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3 Days Ago,https://www.naukri.com/job-listings-machine-learning-ai-architect-persistent-systems-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-12-years-100323501374
Data Scientist,Cognizant,4.0,31471 Reviews,8-10 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-cognizant-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-8-to-10-years-090223005732
Senior Data Scientist-New Frontiers,IDFC FIRST Bharat,4.2,458 Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",15 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-new-frontiers-idfc-first-bank-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-7-years-250223501335
Data Scientist (HR),NCR Corporation,4.1,1009 Reviews,1-2 Yrs,Not disclosed,"Mumbai, New Delhi, Hyderabad/Secunderabad",30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-hr-ncr-corporation-india-pvt-ltd-mumbai-new-delhi-hyderabad-secunderabad-1-to-2-years-231222500510
Data Science - Technical Lead,Paytm,3.7,4707 Reviews,6-8 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-data-science-technical-lead-paytm-noida-bangalore-bengaluru-6-to-8-years-030123500411
Data Science - Engineering Manager,Paytm,3.7,4707 Reviews,3-5 Yrs,Not disclosed,"New Delhi, Bangalore/Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-data-science-engineering-manager-paytm-new-delhi-bangalore-bengaluru-3-to-5-years-021222500074
Data Scientist,Impetus Technologies,3.9,262 Reviews,4-8 Yrs,Not disclosed,"Noida, Indore, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",26 Days Ago,https://www.naukri.com/job-listings-data-scientist-impetus-technologies-noida-indore-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-8-years-150223011585
Data Scientist,WSD Consultant,4.5,10 Reviews,1-5 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",3 Days Ago,https://www.naukri.com/job-listings-data-scientist-wsd-consultant-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-1-to-5-years-100323501860
ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,4.1,34218 Reviews,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,7 Days Ago,https://www.naukri.com/job-listings-acn-applied-intelligence-cc-data-science-in-09-accenture-gurgaon-gurugram-2-to-6-years-300123906110
Manager,EXL,3.9,5532 Reviews,5-8 Yrs,Not disclosed,Noida,3 Days Ago,https://www.naukri.com/job-listings-manager-exl-services-com-i-pvt-ltd-noida-5-to-8-years-100323502456
Manager Data Science,Optum,4.1,2263 Reviews,5-7 Yrs,Not disclosed,Noida,6 Days Ago,https://www.naukri.com/job-listings-manager-data-science-optum-global-solutions-india-private-limited-noida-5-to-7-years-070323904689
Data Scientist,Taskus,3.8,576 Reviews,6-11 Yrs,Not disclosed,Gurgaon/Gurugram,7 Days Ago,https://www.naukri.com/job-listings-data-scientist-taskus-gurgaon-gurugram-6-to-11-years-060323501417
Analyst-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago,https://www.naukri.com/job-listings-analyst-data-science-american-express-company-gurgaon-gurugram-0-to-3-years-210123500765
Analyst-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago,https://www.naukri.com/job-listings-analyst-data-science-american-express-company-gurgaon-gurugram-0-to-3-years-120123501495
Senior Analyst-Risk Management,AMERICAN EXPRESS,4.4,2040 Reviews,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago,https://www.naukri.com/job-listings-senior-analyst-risk-management-american-express-company-gurgaon-gurugram-0-to-3-years-070123500330
Data Scientist,Tabsquare,4.0,3 Reviews,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",10 Days Ago,https://www.naukri.com/job-listings-data-scientist-tabsquare-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-030323502779
Senior Data Scientist,KAS Services India,3.9,30 Reviews,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",11 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-kas-services-india-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-020323501862
Manager - Innovations Hub - Machine Learning,PwC,3.8,4497 Reviews,7-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",2 Days Ago,https://www.naukri.com/job-listings-manager-innovations-hub-machine-learning-pricewaterhouse-coopers-private-limited-mumbai-hyderabad-secunderabad-bangalore-bengaluru-7-to-9-years-110323500743
Senior Data Scientist - Statistics,Optum,4.1,2263 Reviews,5-7 Yrs,Not disclosed,Gurgaon/Gurugram,14 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-statistics-optum-global-solutions-india-private-limited-gurgaon-gurugram-5-to-7-years-270223905634
Data Scientist Manufacturing,Jubilant Pharmova Limited,4.1,1095 Reviews,5-9 Yrs,Not disclosed,Noida,10 Days Ago,https://www.naukri.com/job-listings-data-scientist-manufacturing-jubilant-pharmova-limited-noida-5-to-9-years-030323502254
Data Scientist (Manufacturing),Jubilant Pharmova Limited,4.1,1095 Reviews,5-9 Yrs,Not disclosed,Noida,10 Days Ago,https://www.naukri.com/job-listings-data-scientist-manufacturing-jubilant-pharmova-limited-noida-5-to-9-years-030323502249
Data Scientist - Sales & Marketing,Jubilant Pharmova Limited,4.1,1095 Reviews,3-7 Yrs,Not disclosed,Noida,10 Days Ago,https://www.naukri.com/job-listings-data-scientist-sales-marketing-jubilant-pharmova-limited-noida-3-to-7-years-030323502248
